Year LandAvgTemp LandMaxTemp LandMinTemp LandAndOceanAvgTemp
1760 7.185 nan nan nan
1761 8.772 nan nan nan
1762 8.607 nan nan nan
1763 7.497 nan nan nan
1764 8.400 nan nan nan
1765 8.252 nan nan nan
1766 8.406 nan nan nan
1767 8.222 nan nan nan
1768 6.781 nan nan nan
1769 7.695 nan nan nan
1770 7.692 nan nan nan
1771 7.853 nan nan nan
1772 8.194 nan nan nan
1773 8.222 nan nan nan
1774 8.772 nan nan nan
1775 9.183 nan nan nan
1776 8.304 nan nan nan
1777 8.256 nan nan nan
1778 8.542 nan nan nan
1779 8.983 nan nan nan
1780 9.433 nan nan nan
1781 8.103 nan nan nan
1782 7.901 nan nan nan
1783 7.681 nan nan nan
1784 7.862 nan nan nan
1785 7.363 nan nan nan
1786 8.258 nan nan nan
1787 8.032 nan nan nan
1788 8.447 nan nan nan
1789 8.334 nan nan nan
1790 7.982 nan nan nan
1791 8.234 nan nan nan
1792 8.089 nan nan nan
1793 8.229 nan nan nan
1794 8.526 nan nan nan
1795 8.350 nan nan nan
1796 8.271 nan nan nan
1797 8.511 nan nan nan
1798 8.670 nan nan nan
1799 8.506 nan nan nan
1800 8.484 nan nan nan
1801 8.590 nan nan nan
1802 8.578 nan nan nan
1803 8.503 nan nan nan
1804 8.845 nan nan nan
1805 8.563 nan nan nan
1806 8.434 nan nan nan
1807 8.281 nan nan nan
1808 7.627 nan nan nan
1809 7.076 nan nan nan
1810 6.923 nan nan nan
1811 6.860 nan nan nan
1812 7.046 nan nan nan
1813 7.740 nan nan nan
1814 7.592 nan nan nan
1815 7.239 nan nan nan
1816 6.938 nan nan nan
1817 6.976 nan nan nan
1818 7.829 nan nan nan
1819 7.369 nan nan nan
1820 7.616 nan nan nan
1821 8.090 nan nan nan
1822 8.188 nan nan nan
1823 7.719 nan nan nan
1824 8.547 nan nan nan
1825 8.389 nan nan nan
1826 8.357 nan nan nan
1827 8.809 nan nan nan
1828 8.165 nan nan nan
1829 7.942 nan nan nan
1830 8.517 nan nan nan
1831 7.639 nan nan nan
1832 7.450 nan nan nan
1833 8.013 nan nan nan
1834 8.147 nan nan nan
1835 7.392 nan nan nan
1836 7.696 nan nan nan
1837 7.376 nan nan nan
1838 7.515 nan nan nan
1839 7.632 nan nan nan
1840 7.796 nan nan nan
1841 7.688 nan nan nan
1842 8.023 nan nan nan
1843 8.174 nan nan nan
1844 7.646 nan nan nan
1845 7.851 nan nan nan
1846 8.553 nan nan nan
1847 8.086 nan nan nan
1848 7.980 nan nan nan
1849 7.984 nan nan nan
1850 7.901 13.477 1.964 14.867
1851 8.179 13.081 2.204 14.992
1852 8.100 13.397 2.337 15.007
1853 8.042 13.887 1.893 14.955
1854 8.210 13.977 1.762 14.991
1855 8.111 13.493 1.703 15.021
1856 7.996 13.470 1.525 14.879
1857 7.758 13.438 1.857 14.758
1858 8.100 13.683 2.111 14.882
1859 8.252 13.860 2.460 14.930
1860 7.961 13.960 2.344 14.883
1861 7.847 13.857 2.263 14.801
1862 7.559 14.247 2.483 14.740
1863 8.112 13.620 2.767 14.936
1864 7.984 13.919 2.410 14.896
1865 8.178 14.298 2.552 14.997
1866 8.292 14.166 2.432 15.057
1867 8.436 14.147 2.464 15.059
1868 8.248 14.098 2.370 15.097
1869 8.432 14.069 2.165 15.065
1870 8.201 14.210 2.425 15.004
1871 8.115 13.984 2.158 15.006
1872 8.194 14.285 2.187 15.019
1873 8.351 14.010 1.904 15.049
1874 8.434 13.883 2.062 14.957
1875 7.860 14.008 1.614 14.922
1876 8.080 13.935 2.135 14.909
1877 8.540 14.430 2.649 15.283
1878 8.830 14.742 2.982 15.357
1879 8.166 14.066 2.079 15.064
1880 8.119 13.913 2.054 15.009
1881 8.271 14.050 2.426 15.087
1882 8.129 14.114 2.273 15.057
1883 7.977 13.962 1.880 14.963
1884 7.774 13.692 1.648 14.833
1885 7.920 13.912 1.874 14.854
1886 7.954 13.947 1.971 14.835
1887 7.915 13.890 1.907 14.816
1888 8.091 13.909 1.954 14.994
1889 8.319 14.294 2.348 15.113
1890 7.972 13.929 1.851 14.841
1891 8.019 14.033 1.905 14.944
1892 8.066 13.971 1.982 14.883
1893 8.057 13.937 1.907 14.912
1894 8.161 14.041 2.124 14.915
1895 8.147 14.078 2.076 14.969
1896 8.215 14.108 2.115 15.091
1897 8.293 14.187 2.294 15.075
1898 8.178 14.232 2.153 14.887
1899 8.396 14.332 2.430 15.048
1900 8.502 14.390 2.576 15.144
1901 8.542 14.512 2.490 15.073
1902 8.304 14.364 2.204 14.958
1903 8.220 14.086 2.283 14.837
1904 8.091 14.064 2.171 14.810
1905 8.225 14.082 2.343 14.955
1906 8.379 14.244 2.486 15.032
1907 7.947 13.808 2.003 14.875
1908 8.186 14.039 2.175 14.838
1909 8.178 14.027 2.158 14.790
1910 8.223 14.097 2.158 14.819
1911 8.177 13.988 2.250 14.776
1912 8.165 14.053 2.201 14.877
1913 8.298 14.202 2.319 14.909
1914 8.591 14.315 2.687 15.076
1915 8.593 14.474 2.644 15.144
1916 8.225 14.097 2.262 14.901
1917 8.023 13.926 2.020 14.810
1918 8.131 13.961 2.186 14.960
1919 8.382 14.156 2.451 15.007
1920 8.359 14.143 2.446 15.026
1921 8.571 14.424 2.677 15.102
1922 8.408 14.205 2.433 15.012
1923 8.422 14.182 2.456 15.028
1924 8.507 14.224 2.506 15.039
1925 8.534 14.344 2.542 15.090
1926 8.729 14.452 2.769 15.241
1927 8.522 14.298 2.535 15.122
1928 8.632 14.362 2.668 15.132
1929 8.242 13.956 2.301 14.967
1930 8.634 14.326 2.740 15.172
1931 8.719 14.420 2.819 15.228
1932 8.705 14.432 2.763 15.188
1933 8.338 14.078 2.424 15.013
1934 8.628 14.384 2.767 15.145
1935 8.516 14.287 2.588 15.119
1936 8.554 14.315 2.639 15.166
1937 8.698 14.476 2.750 15.300
1938 8.864 14.650 3.033 15.293
1939 8.760 14.595 2.881 15.302
1940 8.765 14.579 2.890 15.372
1941 8.769 14.536 2.915 15.385
1942 8.728 14.534 2.920 15.325
1943 8.755 14.603 2.937 15.345
1944 8.845 14.727 3.060 15.449
1945 8.585 14.439 2.772 15.331
1946 8.677 14.482 2.831 15.263
1947 8.797 14.562 2.965 15.310
1948 8.747 14.616 2.915 15.261
1949 8.587 14.415 2.802 15.223
1950 8.365 14.174 2.579 15.139
1951 8.626 14.430 2.736 15.311
1952 8.638 14.463 2.820 15.363
1953 8.874 14.639 3.108 15.421
1954 8.561 14.287 2.866 15.231
1955 8.626 14.329 2.861 15.174
1956 8.280 14.024 2.562 15.106
1957 8.732 14.382 3.001 15.374
1958 8.774 14.477 3.114 15.382
1959 8.733 14.416 3.109 15.340
1960 8.584 14.317 2.933 15.292
1961 8.798 14.515 3.129 15.380
1962 8.746 14.540 3.009 15.326
1963 8.856 14.612 3.158 15.377
1964 8.410 14.157 2.769 15.117
1965 8.527 14.268 2.841 15.196
1966 8.599 14.326 2.899 15.265
1967 8.700 14.407 3.037 15.294
1968 8.516 14.164 2.857 15.264
1969 8.595 14.212 2.963 15.390
1970 8.701 14.403 3.043 15.333
1971 8.599 14.353 2.962 15.200
1972 8.500 14.165 2.845 15.293
1973 8.948 14.566 3.370 15.405
1974 8.467 14.082 2.901 15.168
1975 8.745 14.384 3.121 15.239
1976 8.347 14.008 2.734 15.131
1977 8.850 14.486 3.295 15.408
1978 8.693 14.281 3.171 15.301
1979 8.733 14.458 3.200 15.414
1980 8.980 14.673 3.405 15.492
1981 9.166 14.855 3.636 15.516
1982 8.639 14.301 3.240 15.342
1983 9.028 14.680 3.552 15.520
1984 8.692 14.343 3.187 15.344
1985 8.658 14.267 3.176 15.341
1986 8.834 14.517 3.319 15.384
1987 8.994 14.700 3.431 15.525
1988 9.202 14.890 3.654 15.556
1989 8.922 14.621 3.334 15.442
1990 9.234 14.958 3.659 15.629
1991 9.179 14.840 3.622 15.598
1992 8.837 14.471 3.264 15.453
1993 8.867 14.520 3.285 15.466
1994 9.039 14.729 3.396 15.535
1995 9.347 15.026 3.704 15.638
1996 9.039 14.737 3.381 15.525
1997 9.203 14.868 3.590 15.714
1998 9.523 15.169 3.949 15.826
1999 9.285 14.983 3.662 15.600
2000 9.201 14.899 3.582 15.611
2001 9.415 15.159 3.741 15.767
2002 9.570 15.312 3.865 15.829
2003 9.526 15.249 3.852 15.827
2004 9.325 15.018 3.664 15.757
2005 9.701 15.350 4.114 15.879
2006 9.532 15.262 3.865 15.813
2007 9.732 15.533 4.009 15.827
2008 9.432 15.192 3.725 15.721
2009 9.505 15.267 3.797 15.827
2010 9.703 15.449 4.024 15.895
2011 9.516 15.285 3.828 15.770
2012 9.507 15.333 3.756 15.802
2013 9.607 15.374 3.911 15.854
2014 9.571 15.314 3.878 15.913
2015 9.831 15.573 4.149 16.059
